Género y especie;Tiempo;Ubicación;Zona;País actual;Hábitat;Capacidad craneal;Altura;Tamaño de los incisivos;Forma de la mandíbula;Toroide supraorbitario;Prognatismo;Posición del foramen magnum;Tamaño del canino;Forma de los caninos;Esmalte dental;Tecno;Tipo tecno;Bípedo;Brazos;Pies;Dieta;Dimorfismo sexual;Cadera;Frente vertical;Anatomía;Migrado;Esqueleto
Homo Erectus;166.169.105;Asia ;west;Indonesia;savannah;110.804.399;16.196.835;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Antecesor;102.130.623;Europa;west;Spain;savannah;94.756.261;16.852.008;medium large;U shape;little protruding;medium;modern;big;incisiform;medium-thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;mixed;yes;light
Homo Rodhesiensis;119.112.013;Africa;oriental;Ethiopia;savannah;96.919.446;1.522.235;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Homo Erectus;170.637.622;Asia ;west;Indonesia;savannah;106.783.885;16.019.451;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Sediba;251.560.252;Africa;south;South Africa;mixed;30.860.286;10.912.746;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
hominino Sahelanthropus tchadensis;670.582.464;Africa;central;Republic of Chad;mixed;28.431.415;8.062.597;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Australopithecus Sediba;232.133.995;Africa;south;South Africa;mixed;4.816.663;10.269.266;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Homo Ergaster;166.942.336;Africa;oriental;Kenya;savannah;75.011.543;15.603.511;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Habilis;270.563.151;Africa;oriental;Ethiopia;savannah;61.846.114;13.133.556;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
Homo Rudolfensis;314.593.558;Africa;oriental;Kenya;savannah;61.880.957;13.758.105;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Australopithecus Sediba;250.678.605;Africa;south;South Africa;mixed;40.409.158;11.026.699;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Australopithecus Africanus;364.241.755;Africa;south;South Africa;forest-gallery;4.862.056;10.224.628;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
Paranthropus Boisei;23.225.695;Africa;oriental;Ethiopia;forest;51.498.458;10.827.269;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Australopithecus Africanus;349.710.406;Africa;south;South Africa;forest-gallery;52.707.613;10.441.146;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
Paranthropus Robustus;232.811.516;Africa;south;South Africa;jungle;57.265.308;11.933.891;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Ergaster;12.768.097;Africa;oriental;Kenya;savannah;75.754.109;15.337.292;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Afarensis;426.133.451;Africa;oriental;Kenya;mixed;31.510.321;1.202.874;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
Paranthropus Aethiopicus;299.242.957;Africa;oriental;Kenya;forest-savanna;4.203.984;10.469.267;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
hominino Ardipithecus ramidus / kabadda;450.101.941;Africa;oriental;Ethiopia;mixed;21.800.427;11.777.921;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
Homo Rudolfensis;222.997.687;Africa;oriental;Kenya;savannah;79.762.461;12.510.963;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
hominino Sahelanthropus tchadensis;760.249.726;Africa;central;Republic of Chad;mixed;15.465.111;9.795.811;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Erectus;102.293.619;Asia ;west;Indonesia;savannah;90.593.327;15.944.837;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Paranthropus Aethiopicus;249.423.951;Africa;oriental;Kenya;forest-savanna;55.632.122;10.810.509;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Rudolfensis;241.712.418;Africa;oriental;Kenya;savannah;56.421.375;12.406.227;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Paranthropus Aethiopicus;232.627.402;Africa;oriental;Kenya;forest-savanna;35.035.907;1.119.402;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Australopithecus Africanus;325.118.752;Africa;south;South Africa;forest-gallery;69.096.536;11.283.484;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
Australopithecus Afarensis;371.035.507;Africa;oriental;Kenya;mixed;40.764.764;12.949.349;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
Australopithecus Bahrelghazali;35.559.442;Africa;central;Republic of Chad;mixed;15.605.351;12.053.996;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
Paranthropus Boisei;231.868.887;Africa;oriental;Ethiopia;forest;36.530.965;10.583.283;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
hominino Ardipithecus ramidus / kabadda;384.903.739;Africa;oriental;Ethiopia;mixed;2.611.855;11.264.868;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
Australopithecus Africanus;343.159.448;Africa;south;South Africa;forest-gallery;42.143.937;11.977.024;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
hominino Orrorin tugenencin;640.674.021;Africa;oriental;Kenya;forest;28.802.325;11.307.889;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Habilis;3.150.656;Africa;oriental;Ethiopia;savannah;80.016.883;12.165.569;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
Homo Ergaster;192.658.625;Africa;oriental;Kenya;savannah;97.789.034;16.102.338;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Anamensis;483.807.191;Africa;oriental;Kenya;forest-gallery;40.940.091;12.163.885;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
hominino Orrorin tugenencin;592.664.353;Africa;oriental;Kenya;forest;9.683.429;11.545.595;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
hominino Ardipithecus ramidus / kabadda;436.011.697;Africa;oriental;Ethiopia;mixed;17.706.532;11.279.541;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
Homo Habilis;312.463.796;Africa;oriental;Ethiopia;savannah;85.574.246;12.777.781;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
Australopithecus Afarensis;450.136.649;Africa;oriental;Kenya;mixed;35.437.493;12.131.721;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
hominino Orrorin tugenencin;617.209.762;Africa;oriental;Kenya;forest;29.839.903;11.162.348;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
hominino Orrorin tugenencin;574.396.111;Africa;oriental;Kenya;forest;20.972.942;11.352.811;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Ergaster;174.313.656;Africa;oriental;Kenya;savannah;88.320.655;16.666.697;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
hominino Orrorin tugenencin;624.059.486;Africa;oriental;Kenya;forest;24.562.102;11.795.049;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
hominino Sahelanthropus tchadensis;722.147.367;Africa;central;Republic of Chad;mixed;9.873.747;9.316.818;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Floresiensis;0.33116039;Asia ;oriental;Indonesia;peninsular;16.592.057;10.394.275;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Australopithecus Africanus;392.179.663;Africa;south;South Africa;forest-gallery;51.609.431;1.188.742;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
hominino Sahelanthropus tchadensis;712.571.228;Africa;central;Republic of Chad;mixed;175.487;9.901.109;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Rudolfensis;305.398.379;Africa;oriental;Kenya;savannah;72.081.117;13.758.801;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Homo Rodhesiensis;0.46374637;Africa;oriental;Ethiopia;savannah;102.230.822;15.918.951;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Homo Sapiens;0.89908159;Africa;oriental;Kenya;savannah;125.213.742;16.147.152;very small;modern;flat;absent;modern;small;incisiform;very thin;yes;mode 4;modern;manipulate with precision;walk;carnivorous;reduced;very modern;modern;very modern;yes;refined
Homo Antecesor;169.816.025;Europa;west;Spain;savannah;88.311.939;17.848.143;medium large;U shape;little protruding;medium;modern;big;incisiform;medium-thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;mixed;yes;light
Australopithecus Anamensis;398.864.328;Africa;oriental;Kenya;forest-gallery;44.421.219;12.688.077;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Australopithecus Sediba;218.077.843;Africa;south;South Africa;mixed;35.055.896;11.806.591;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Homo Rodhesiensis;0.42071205;Africa;oriental;Ethiopia;savannah;112.319.837;14.982.937;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Australopithecus Afarensis;432.990.959;Africa;oriental;Kenya;mixed;45.302.567;12.611.837;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
Homo Floresiensis;0.42471452;Asia ;oriental;Indonesia;peninsular;23.673.687;107.795;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Australopithecus Afarensis;457.182.006;Africa;oriental;Kenya;mixed;20.988.173;12.866.869;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
Homo Antecesor;12.347.741;Europa;west;Spain;savannah;104.455.864;17.828.107;medium large;U shape;little protruding;medium;modern;big;incisiform;medium-thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;mixed;yes;light
Homo Antecesor;0.91933365;Europa;west;Spain;savannah;11.581.757;17.656.899;medium large;U shape;little protruding;medium;modern;big;incisiform;medium-thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;mixed;yes;light
hominino Orrorin tugenencin;659.722.876;Africa;oriental;Kenya;forest;26.504.704;11.869.639;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
hominino Ardipithecus ramidus / kabadda;425.561.585;Africa;oriental;Ethiopia;mixed;19.008.777;11.506.245;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
Homo Ergaster;158.093.745;Africa;oriental;Kenya;savannah;79.998.548;15.592.953;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
hominino Orrorin tugenencin;604.335.571;Africa;oriental;Kenya;forest;13.975.019;12.370.321;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Australopithecus Garhi;275.625.871;Africa;oriental;Ethiopia;mixed;47.272.709;11.069.516;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
Homo Heidelbergensis;0.56121249;Europa;central;Germany;cold forest;140.156.395;17.969.891;small;modern;little protruding;reduced;modern;small;incisiform;thin;yes;mode 2;modern;manipulate;walk;carnivorous;medium-high;very modern;modern;very modern;no;robust
Homo Ergaster;122.657.196;Africa;oriental;Kenya;savannah;79.710.754;161.22;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Sediba;188.235.762;Africa;south;South Africa;mixed;40.516.392;11.365.454;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Homo Habilis;317.680.223;Africa;oriental;Ethiopia;savannah;7.535.091;13.020.694;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
hominino Sahelanthropus tchadensis;762.477.987;Africa;central;Republic of Chad;mixed;5.859.882;9.070.776;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
hominino Ardipithecus ramidus / kabadda;420.102.202;Africa;oriental;Ethiopia;mixed;2.510.397;11.681.321;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
Homo Rodhesiensis;0.94156982;Africa;oriental;Ethiopia;savannah;98.901.171;15.164.406;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Homo Floresiensis;0.25404008;Asia ;oriental;Indonesia;peninsular;40.231.107;10.835.927;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Sapiens;0.79325464;Africa;oriental;Kenya;savannah;136.326.012;17.962.672;very small;modern;flat;absent;modern;small;incisiform;very thin;yes;mode 4;modern;manipulate with precision;walk;carnivorous;reduced;very modern;modern;very modern;yes;refined
Homo Ergaster;193.451.098;Africa;oriental;Kenya;savannah;7.235.306;16.889.817;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Africanus;337.713.596;Africa;south;South Africa;forest-gallery;46.427.513;11.624.827;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
Homo Rudolfensis;276.843.203;Africa;oriental;Kenya;savannah;76.690.972;13.045.217;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Homo Sapiens;0.89363038;Africa;oriental;Kenya;savannah;12.413.214;16.378.614;very small;modern;flat;absent;modern;small;incisiform;very thin;yes;mode 4;modern;manipulate with precision;walk;carnivorous;reduced;very modern;modern;very modern;yes;refined
Homo Habilis;30.831.839;Africa;oriental;Ethiopia;savannah;71.419.325;13.276.224;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
Homo Habilis;314.897.417;Africa;oriental;Ethiopia;savannah;75.046.869;1.366.111;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
Homo Heidelbergensis;0.78157204;Europa;central;Germany;cold forest;132.248.839;16.548.417;small;modern;little protruding;reduced;modern;small;incisiform;thin;yes;mode 2;modern;manipulate;walk;carnivorous;medium-high;very modern;modern;very modern;no;robust
Homo Floresiensis;0.23632808;Asia ;oriental;Indonesia;peninsular;41.416.103;10.781.301;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Erectus;12.299.062;Asia ;west;Indonesia;savannah;119.377.208;16.101.782;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Paranthropus Robustus;250.864.166;Africa;south;South Africa;jungle;56.536.736;12.116.443;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Sapiens;0.47824275;Africa;oriental;Kenya;savannah;112.158.799;16.758.258;very small;modern;flat;absent;modern;small;incisiform;very thin;yes;mode 4;modern;manipulate with precision;walk;carnivorous;reduced;very modern;modern;very modern;yes;refined
Homo Ergaster;139.565.164;Africa;oriental;Kenya;savannah;8.927.267;15.273.473;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Heidelbergensis;117.744.666;Europa;central;Germany;cold forest;141.664.463;1.695.081;small;modern;little protruding;reduced;modern;small;incisiform;thin;yes;mode 2;modern;manipulate;walk;carnivorous;medium-high;very modern;modern;very modern;no;robust
Homo Rudolfensis;257.768.286;Africa;oriental;Kenya;savannah;68.088.955;13.361.285;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Australopithecus Anamensis;39.017.568;Africa;oriental;Kenya;forest-gallery;27.982.495;11.305.273;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Homo Ergaster;154.471.569;Africa;oriental;Kenya;savannah;72.956.657;16.970.641;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Anamensis;441.440.512;Africa;oriental;Kenya;forest-gallery;24.641.059;12.247.543;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Australopithecus Bahrelghazali;362.646.289;Africa;central;Republic of Chad;mixed;23.634.457;11.448.737;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
hominino Ardipithecus ramidus / kabadda;412.233.077;Africa;oriental;Ethiopia;mixed;38.106.977;11.652.776;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
Homo Ergaster;170.574.861;Africa;oriental;Kenya;savannah;96.079.401;15.601.328;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
hominino Orrorin tugenencin;626.490.841;Africa;oriental;Kenya;forest;22.308.369;11.939.562;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Erectus;194.998.073;Asia ;west;Indonesia;savannah;111.008.957;16.291.184;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
hominino Sahelanthropus tchadensis;721.797.193;Africa;central;Republic of Chad;mixed;9.622.449;8.203.064;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Paranthropus Robustus;210.753.452;Africa;south;South Africa;jungle;56.494.653;12.682.341;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Sapiens;0.90458357;Africa;oriental;Kenya;savannah;134.547.826;16.726.203;very small;modern;flat;absent;modern;small;incisiform;very thin;yes;mode 4;modern;manipulate with precision;walk;carnivorous;reduced;very modern;modern;very modern;yes;refined
Homo Habilis;2.615.072;Africa;oriental;Ethiopia;savannah;76.451.589;13.809.468;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
hominino Orrorin tugenencin;663.150.779;Africa;oriental;Kenya;forest;28.780.654;12.824.732;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
hominino Orrorin tugenencin;647.526.395;Africa;oriental;Kenya;forest;26.963.792;11.717.171;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Australopithecus Garhi;27.418.199;Africa;oriental;Ethiopia;mixed;2.736.346;12.771.859;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
Paranthropus Aethiopicus;26.236.917;Africa;oriental;Kenya;forest-savanna;44.685.808;10.435.426;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Georgicus;165.699.298;Asia ;west;Georgia;savannah;60.773.875;14.651.008;medium large;U shape;very protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Sediba;182.510.554;Africa;south;South Africa;mixed;44.173.695;11.239.769;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Homo Naledi;0.38912785;Africa;south;South Africa;jungle;25.763.042;12.969.465;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Paranthropus Boisei;279.669.108;Africa;oriental;Ethiopia;forest;54.942.813;11.054.576;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Australopithecus Africanus;338.558.106;Africa;south;South Africa;forest-gallery;48.994.802;1.092.983;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
Paranthropus Aethiopicus;266.886.594;Africa;oriental;Kenya;forest-savanna;31.185.618;10.257.243;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Antecesor;117.405.884;Europa;west;Spain;savannah;10.800.445;16.702.009;medium large;U shape;little protruding;medium;modern;big;incisiform;medium-thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;mixed;yes;light
Paranthropus Robustus;2.461.522;Africa;south;South Africa;jungle;61.510.619;118.283;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Sapiens;0.21150655;Africa;oriental;Kenya;savannah;130.227.955;16.438.531;very small;modern;flat;absent;modern;small;incisiform;very thin;yes;mode 4;modern;manipulate with precision;walk;carnivorous;reduced;very modern;modern;very modern;yes;refined
Homo Erectus;140.279.699;Asia ;west;Indonesia;savannah;102.122.025;1.615.912;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Georgicus;159.739.409;Asia ;west;Georgia;savannah;57.147.063;1.409.629;medium large;U shape;very protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Paranthropus Aethiopicus;329.243.101;Africa;oriental;Kenya;forest-savanna;42.157.916;10.216.527;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Paranthropus Aethiopicus;306.832.491;Africa;oriental;Kenya;forest-savanna;49.068.308;117.828;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Rodhesiensis;0.91811094;Africa;oriental;Ethiopia;savannah;106.214.151;15.698.515;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Australopithecus Sediba;244.461.542;Africa;south;South Africa;mixed;45.739.895;11.731.095;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
